run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7620468372903415062,2026-03-23,stem personligt på mig i morgen i hele Fyns Storkreds #dkpol ,8425,437,2,7,14,https://www.tiktok.com/@sofiemosgaard/video/7620468372903415062
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7620391701139442966,2026-03-23,Stil mig et spørgsmål! #dkpol #Fyn #Odense ,7439,159,17,1,4,https://www.tiktok.com/@sofiemosgaard/video/7620391701139442966
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619740520218234134,2026-03-21,dumpet #ligestilling #dkpol @Liberal Alliance @Alex Vanopslagh ,17400,1185,10,222,107,https://www.tiktok.com/@sofiemosgaard/video/7619740520218234134
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619735701567016215,2026-03-21,kom og drik en gratis øl inde på Froggys i #Odense #dkpol ,8350,162,10,33,4,https://www.tiktok.com/@sofiemosgaard/video/7619735701567016215
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619414866847190294,2026-03-20,jeg har googlet mig selv #dkpol #odense ,36800,1034,5,25,37,https://www.tiktok.com/@sofiemosgaard/video/7619414866847190294
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619310968828366102,2026-03-20,Gratis øl i Odense på Froggys cafe #dkpol #Odense kom og snak om politik ,27700,595,11,446,47,https://www.tiktok.com/@sofiemosgaard/video/7619310968828366102
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619254853243620630,2026-03-20,rød blok vil hæve skatten med 70 milliarder kroner #dkpol ,85000,3281,67,589,194,https://www.tiktok.com/@sofiemosgaard/video/7619254853243620630
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7618865770814115094,2026-03-19,hvor skal pengene komme fra? #dkpol @Socialdemokratiet ,11000,490,15,37,27,https://www.tiktok.com/@sofiemosgaard/video/7618865770814115094
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7618681168312945942,2026-03-18,"hvad nu, hvis man finansierede sin politik? #dkpol ",10400,298,7,7,17,https://www.tiktok.com/@sofiemosgaard/video/7618681168312945942
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7618565727603281174,2026-03-18,benzin og dieselafgiften skal i bund #dkpol ,3116,138,34,2,5,https://www.tiktok.com/@sofiemosgaard/video/7618565727603281174
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617945932520312086,2026-03-16,#sammenføj med @Socialdemokratiet ostemad #dkpol ,4603,111,2,1,5,https://www.tiktok.com/@sofiemosgaard/video/7617945932520312086
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617919523672591618,2026-03-16,husk at stemme blåt til det her valg #dkpol ,4132,128,2,2,10,https://www.tiktok.com/@sofiemosgaard/video/7617919523672591618
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617909218338671894,2026-03-16,kan vi bede om noget finansiering tak?? #dkpol ,6277,191,9,14,5,https://www.tiktok.com/@sofiemosgaard/video/7617909218338671894
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617608316490960150,2026-03-15,jesus #dkpol ,2747,118,1,2,4,https://www.tiktok.com/@sofiemosgaard/video/7617608316490960150
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617561616917204246,2026-03-15,Svarer @bindegal mænd og kviner på krisecenter #dkpol ,2375,95,0,1,7,https://www.tiktok.com/@sofiemosgaard/video/7617561616917204246
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617529223195970838,2026-03-15,lad os snakke om dobbeltmandater i Folketinget #dkpol #politik #Odense ,17500,444,5,8,23,https://www.tiktok.com/@sofiemosgaard/video/7617529223195970838
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617434616550542614,2026-03-15,Svarer @fourtweney Sprøjteforbud? #klima #dkpol ,3655,114,8,4,7,https://www.tiktok.com/@sofiemosgaard/video/7617434616550542614
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617425884256931094,2026-03-15,#sammenføj med @Inger Støjbergej Inger. Selvfølgelig skal vi ikke lave indrejseforbud til tilfældige aktivister #dkpol ,2591,110,3,1,5,https://www.tiktok.com/@sofiemosgaard/video/7617425884256931094
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617230961356426518,2026-03-14,Hvor skal pengene komme fra? #dkpol #folketingsvalg ,6933,231,18,5,8,https://www.tiktok.com/@sofiemosgaard/video/7617230961356426518
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617154299000311062,2026-03-14,den var der næsten @Sadek Al-Amood #dkpol ,2119,73,1,2,2,https://www.tiktok.com/@sofiemosgaard/video/7617154299000311062
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617091226495356182,2026-03-14,et af mine hot takes #dkpol #politik ,9084,380,6,7,13,https://www.tiktok.com/@sofiemosgaard/video/7617091226495356182
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617056470735080726,2026-03-14,hvem skal lave folkeskolen? lærerne eller politikerne? #dkpol #skole ,2595,88,0,1,3,https://www.tiktok.com/@sofiemosgaard/video/7617056470735080726
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7616744261454744854,2026-03-13,liberal frminisme #dkpol ,4141,140,1,0,5,https://www.tiktok.com/@sofiemosgaard/video/7616744261454744854
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7616708392647707926,2026-03-13,nej tak til antisemitisme #dkpol ,1668,75,1,0,2,https://www.tiktok.com/@sofiemosgaard/video/7616708392647707926
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7616698806704327958,2026-03-13,sådan er det jo... #abort #feminisme #dkpol ,3404,166,0,1,6,https://www.tiktok.com/@sofiemosgaard/video/7616698806704327958
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7616619718903876886,2026-03-13,vi skal investere i elnettet #dkpol #politik #klima ,2305,104,3,0,2,https://www.tiktok.com/@sofiemosgaard/video/7616619718903876886
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7616374675056102678,2026-03-12,Der er masser af penge. Vi bruger dem bare forkert. #dkpol #ligestilling #skat ,26700,501,12,9,25,https://www.tiktok.com/@sofiemosgaard/video/7616374675056102678
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7616341756858125590,2026-03-12,"Det burde ikke være pengepungen der bestemmer, hvilken skole man sender sine børn på. Derfor vil Venstre hæve koblingsprocenten, så flere mennesker får adgang til fri og privatskolerne. #dkpol #skole ",5654,201,22,4,7,https://www.tiktok.com/@sofiemosgaard/video/7616341756858125590
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7616271682377895190,2026-03-12,nej tak til russiske fossile brændsler #dkpol #klima #ukraine ,2792,107,1,0,7,https://www.tiktok.com/@sofiemosgaard/video/7616271682377895190
20260330_193550_a14bfb,sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7616098441533443350,2026-03-11,ja tak til billigere boliger #dkpol #bolig #politik ,4071,153,5,5,6,https://www.tiktok.com/@sofiemosgaard/video/7616098441533443350
